date,code,market,volume_shares
2026-09-18,2327,上市,26963850
2026-09-21,2327,上市,26963850
2026-09-14,2328,上市,1172502
2026-09-15,2328,上市,1828166
2026-09-16,2328,上市,1289323
2026-09-17,2328,上市,1158324
2026-09-18,2328,上市,1897340
2026-09-21,2328,上市,1897340
2026-09-14,2329,上市,1594756
2026-09-15,2329,上市,1213027
2026-09-16,2329,上市,2165182
2026-09-17,2329,上市,2682148
2026-09-18,2329,上市,6081911
2026-09-21,2329,上市,6081911
2026-09-14,2330,上市,21520958
2026-09-15,2330,上市,15215752
2026-09-16,2330,上市,20919285
2026-09-17,2330,上市,18116974
2026-09-18,2330,上市,40892688
2026-09-21,2330,上市,40892688
2026-09-14,2331,上市,676819
2026-09-15,2331,上市,728374
2026-09-16,2331,上市,1346881
2026-09-17,2331,上市,1586624
2026-09-18,2331,上市,855006
2026-09-21,2331,上市,855006
2026-09-14,2332,上市,6382308
2026-09-15,2332,上市,8493922
2026-09-16,2332,上市,11634426
2026-09-17,2332,上市,6289312
2026-09-18,2332,上市,4549287
2026-09-21,2332,上市,4549287
2026-09-14,2337,上市,22286124
2026-09-15,2337,上市,28359737
2026-09-16,2337,上市,22351849
2026-09-17,2337,上市,29307672
2026-09-18,2337,上市,64768504
2026-09-21,2337,上市,64768504
2026-09-14,2338,上市,55395670
2026-09-15,2338,上市,29585483
2026-09-16,2338,上市,26655259
2026-09-17,2338,上市,56292754
2026-09-18,2338,上市,23519369
2026-09-21,2338,上市,23519369
2026-09-14,2340,上市,3265244
2026-09-15,2340,上市,1931697
2026-09-16,2340,上市,4536464
2026-09-17,2340,上市,2641617
2026-09-18,2340,上市,3839465
2026-09-21,2340,上市,3839465
2026-09-14,2344,上市,123411883
2026-09-15,2344,上市,71179694
2026-09-16,2344,上市,83218538
2026-09-17,2344,上市,120007010
2026-09-18,2344,上市,138585216
2026-09-21,2344,上市,138585216
2026-09-14,2345,上市,3068576
2026-09-15,2345,上市,2272078
2026-09-16,2345,上市,3116998
2026-09-17,2345,上市,4448162
2026-09-18,2345,上市,5848473
2026-09-21,2345,上市,5848473
2026-09-14,2347,上市,1958179
2026-09-15,2347,上市,2705824
2026-09-16,2347,上市,3211283
2026-09-17,2347,上市,2713697
2026-09-18,2347,上市,3513180
2026-09-21,2347,上市,3513180
2026-09-14,2352,上市,4629908
2026-09-15,2352,上市,3647989
2026-09-16,2352,上市,5900535
2026-09-17,2352,上市,6215571
2026-09-18,2352,上市,4537456
2026-09-21,2352,上市,4537456
2026-09-14,2353,上市,11658204
2026-09-15,2353,上市,9020306
2026-09-16,2353,上市,18042980
2026-09-17,2353,上市,19345151
2026-09-18,2353,上市,24075941
2026-09-21,2353,上市,24075941
2026-09-14,2354,上市,8630064
2026-09-15,2354,上市,6936955
2026-09-16,2354,上市,6149398
2026-09-17,2354,上市,25062428
2026-09-18,2354,上市,14437974
2026-09-21,2354,上市,14437974
2026-09-14,2355,上市,945997
2026-09-15,2355,上市,1165926
2026-09-16,2355,上市,1128035
2026-09-17,2355,上市,2293520
2026-09-18,2355,上市,1383545
2026-09-21,2355,上市,1383545
2026-09-14,2356,上市,8218311
2026-09-15,2356,上市,9229037
2026-09-16,2356,上市,8635681
2026-09-17,2356,上市,7811109
2026-09-18,2356,上市,22101084
2026-09-21,2356,上市,22101084
2026-09-14,2357,上市,2899208
2026-09-15,2357,上市,2598522
2026-09-16,2357,上市,2547613
2026-09-17,2357,上市,3407956
2026-09-18,2357,上市,4548145
2026-09-21,2357,上市,4548145
2026-09-14,2360,上市,1183735
2026-09-15,2360,上市,985458
2026-09-16,2360,上市,1119387
2026-09-17,2360,上市,1269378
2026-09-18,2360,上市,2681171
2026-09-21,2360,上市,2681171
2026-09-14,2367,上市,2848739
2026-09-15,2367,上市,2130451
2026-09-16,2367,上市,2308835
2026-09-17,2367,上市,5741233
2026-09-18,2367,上市,3110152
2026-09-21,2367,上市,3110152
2026-09-14,2368,上市,4733419
2026-09-15,2368,上市,6666940
2026-09-16,2368,上市,5363645
2026-09-17,2368,上市,13646634
2026-09-18,2368,上市,11142009
2026-09-21,2368,上市,11142009
2026-09-14,2371,上市,8675389
2026-09-15,2371,上市,7713128
2026-09-16,2371,上市,5338154
2026-09-17,2371,上市,31989217
2026-09-18,2371,上市,22977802
2026-09-21,2371,上市,22977802
2026-09-14,2376,上市,2974248
2026-09-15,2376,上市,2237694
2026-09-16,2376,上市,4050554
2026-09-17,2376,上市,4850854
2026-09-18,2376,上市,6645773
2026-09-21,2376,上市,6645773
2026-09-14,2377,上市,7169742
2026-09-15,2377,上市,3410222
2026-09-16,2377,上市,6238224
2026-09-17,2377,上市,6751254
2026-09-18,2377,上市,7158499
2026-09-21,2377,上市,7158499
2026-09-14,2379,上市,2719038
2026-09-15,2379,上市,1859893
2026-09-16,2379,上市,2540007
2026-09-17,2379,上市,3100032
2026-09-18,2379,上市,2568530
2026-09-21,2379,上市,2568530
2026-09-14,2382,上市,8031414
2026-09-15,2382,上市,7988351
2026-09-16,2382,上市,16995268
2026-09-17,2382,上市,16289321
2026-09-18,2382,上市,21601445
2026-09-21,2382,上市,21601445
2026-09-14,2383,上市,1226363
2026-09-15,2383,上市,1525730
2026-09-16,2383,上市,1686031
2026-09-17,2383,上市,5813349
2026-09-18,2383,上市,3783127
2026-09-21,2383,上市,3783127
2026-09-14,2385,上市,1337247
2026-09-15,2385,上市,1455229
2026-09-16,2385,上市,2414053
2026-09-17,2385,上市,2372980
2026-09-18,2385,上市,6299012
2026-09-21,2385,上市,6299012
2026-09-14,2388,上市,2929348
2026-09-15,2388,上市,3721940
2026-09-16,2388,上市,2250709
2026-09-17,2388,上市,4760943
2026-09-18,2388,上市,2818265
2026-09-21,2388,上市,2818265
2026-09-14,2392,上市,1985279
2026-09-15,2392,上市,1985053
2026-09-16,2392,上市,1933367
2026-09-17,2392,上市,1560844
2026-09-18,2392,上市,1624174
2026-09-21,2392,上市,1624174
2026-09-14,2393,上市,877525
2026-09-15,2393,上市,516010
2026-09-16,2393,上市,1856784
2026-09-17,2393,上市,1435863
2026-09-18,2393,上市,2793120
2026-09-21,2393,上市,2793120
2026-09-14,2395,上市,2641185
2026-09-15,2395,上市,3502426
2026-09-16,2395,上市,2260135
2026-09-17,2395,上市,3120413
2026-09-18,2395,上市,3490854
2026-09-21,2395,上市,3490854
2026-09-14,2401,上市,1546162
2026-09-15,2401,上市,1721054
2026-09-16,2401,上市,1394388
2026-09-17,2401,上市,2242550
2026-09-18,2401,上市,3184304
2026-09-21,2401,上市,3184304
2026-09-14,2404,上市,976489
2026-09-15,2404,上市,965057
2026-09-16,2404,上市,746369
2026-09-17,2404,上市,636296
2026-09-18,2404,上市,3305776
2026-09-21,2404,上市,3305776
2026-09-14,2408,上市,49215000
2026-09-15,2408,上市,34239430
2026-09-16,2408,上市,36437142
2026-09-17,2408,上市,44996045
2026-09-18,2408,上市,79512606
2026-09-21,2408,上市,79512606
2026-09-14,2409,上市,311779520
2026-09-15,2409,上市,238024652
2026-09-16,2409,上市,262801666
2026-09-17,2409,上市,368721904
2026-09-18,2409,上市,348900833
2026-09-21,2409,上市,348900833
2026-09-14,2412,上市,18796712
2026-09-15,2412,上市,16914018
2026-09-16,2412,上市,14825696
2026-09-17,2412,上市,15263938
2026-09-18,2412,上市,28080563
2026-09-21,2412,上市,28080563
2026-09-14,2421,上市,2126649
2026-09-15,2421,上市,2719238
2026-09-16,2421,上市,1439873
2026-09-17,2421,上市,2197326
2026-09-18,2421,上市,3294198
2026-09-21,2421,上市,3294198
2026-09-14,2439,上市,629205
2026-09-15,2439,上市,920480
2026-09-16,2439,上市,879449
2026-09-17,2439,上市,1577799
2026-09-18,2439,上市,1055817
2026-09-21,2439,上市,1055817
2026-09-14,2441,上市,2675752
2026-09-15,2441,上市,6099917
2026-09-16,2441,上市,2201806
2026-09-17,2441,上市,5169729
2026-09-18,2441,上市,6324258
2026-09-21,2441,上市,6324258
2026-09-14,2449,上市,11531077
2026-09-15,2449,上市,7605273
2026-09-16,2449,上市,7774589
2026-09-17,2449,上市,15860463
2026-09-18,2449,上市,61177949
2026-09-21,2449,上市,61177949
2026-09-14,2454,上市,6122500
2026-09-15,2454,上市,6209254
2026-09-16,2454,上市,6640865
2026-09-17,2454,上市,6495763
2026-09-18,2454,上市,10365174
2026-09-21,2454,上市,10365174
2026-09-14,2455,上市,1719569
2026-09-15,2455,上市,1671642
2026-09-16,2455,上市,19718194
2026-09-17,2455,上市,28618653
2026-09-18,2455,上市,20026752
2026-09-21,2455,上市,20026752
2026-09-14,2457,上市,692782
2026-09-15,2457,上市,1203973
2026-09-16,2457,上市,623383
2026-09-17,2457,上市,1173581
2026-09-18,2457,上市,1285572
2026-09-21,2457,上市,1285572
2026-09-14,2458,上市,1181243
2026-09-15,2458,上市,724849
2026-09-16,2458,上市,756459
2026-09-17,2458,上市,904593
2026-09-18,2458,上市,1542845
2026-09-21,2458,上市,1542845
2026-09-14,2474,上市,1528502
2026-09-15,2474,上市,1707551
2026-09-16,2474,上市,2887644
2026-09-17,2474,上市,3204951
2026-09-18,2474,上市,4943724
2026-09-21,2474,上市,4943724
2026-09-14,2481,上市,61139738
2026-09-15,2481,上市,58386182
2026-09-16,2481,上市,62194518
2026-09-17,2481,上市,67322321
2026-09-18,2481,上市,39944652
2026-09-21,2481,上市,39944652
2026-09-14,2485,上市,1286214
2026-09-15,2485,上市,1328003
2026-09-16,2485,上市,1623960
2026-09-17,2485,上市,4014575
2026-09-18,2485,上市,1448945
2026-09-21,2485,上市,1448945
2026-09-14,2486,上市,3668068
2026-09-15,2486,上市,3063177
2026-09-16,2486,上市,2991564
2026-09-17,2486,上市,3144822
2026-09-18,2486,上市,3776310
2026-09-21,2486,上市,3776310
2026-09-14,2489,上市,20867390
2026-09-15,2489,上市,15674743
2026-09-16,2489,上市,36281643
2026-09-17,2489,上市,123007380
2026-09-18,2489,上市,79748448
2026-09-21,2489,上市,79748448
2026-09-14,2492,上市,28422433
2026-09-15,2492,上市,21610352
2026-09-16,2492,上市,15103377
2026-09-17,2492,上市,21642767
2026-09-18,2492,上市,15512592
2026-09-21,2492,上市,15512592
2026-09-14,2498,上市,1741906
2026-09-15,2498,上市,2667623
2026-09-16,2498,上市,3120072
2026-09-17,2498,上市,4471663
2026-09-18,2498,上市,10516652
2026-09-21,2498,上市,10516652
2026-09-14,2515,上市,2318466
2026-09-15,2515,上市,5105437
2026-09-16,2515,上市,1890579
2026-09-17,2515,上市,12829832
2026-09-18,2515,上市,16630954
2026-09-21,2515,上市,16630954
2026-09-14,2520,上市,988774
2026-09-15,2520,上市,1083142
2026-09-16,2520,上市,1386974
2026-09-17,2520,上市,2928562
2026-09-18,2520,上市,5226464
2026-09-21,2520,上市,5226464
2026-09-14,2542,上市,8970322
2026-09-15,2542,上市,9711683
2026-09-16,2542,上市,11786811
2026-09-17,2542,上市,12055585
2026-09-18,2542,上市,25349766
2026-09-21,2542,上市,25349766
2026-09-14,2548,上市,1321028
2026-09-15,2548,上市,1610583
2026-09-16,2548,上市,783756
2026-09-17,2548,上市,902582
2026-09-18,2548,上市,4428034
2026-09-21,2548,上市,4428034
2026-09-14,2603,上市,12908688
2026-09-15,2603,上市,6962846
2026-09-16,2603,上市,12583031
2026-09-17,2603,上市,8766454
2026-09-18,2603,上市,10734765
2026-09-21,2603,上市,10734765
2026-09-14,2605,上市,6995523
2026-09-15,2605,上市,8993430
2026-09-16,2605,上市,12864086
2026-09-17,2605,上市,14491606
2026-09-18,2605,上市,9451516
2026-09-21,2605,上市,9451516
2026-09-14,2606,上市,2841174
2026-09-15,2606,上市,4503726
2026-09-16,2606,上市,5725760
2026-09-17,2606,上市,3653421
2026-09-18,2606,上市,2655269
2026-09-21,2606,上市,2655269
2026-09-14,2609,上市,30195141
2026-09-15,2609,上市,22032722
2026-09-16,2609,上市,41409617
2026-09-17,2609,上市,41269391
2026-09-18,2609,上市,47583928
2026-09-21,2609,上市,47583928
2026-09-14,2610,上市,7960868
2026-09-15,2610,上市,22908902
2026-09-16,2610,上市,12213671
2026-09-17,2610,上市,14343844
2026-09-18,2610,上市,24511612
2026-09-21,2610,上市,24511612
2026-09-14,2615,上市,13184172
2026-09-15,2615,上市,8078477
2026-09-16,2615,上市,25797544
2026-09-17,2615,上市,18631521
2026-09-18,2615,上市,30550377
2026-09-21,2615,上市,30550377
2026-09-14,2618,上市,10793404
2026-09-15,2618,上市,20290683
2026-09-16,2618,上市,10972884
2026-09-17,2618,上市,16921237
2026-09-18,2618,上市,33904689
2026-09-21,2618,上市,33904689
2026-09-14,2633,上市,2519526
2026-09-15,2633,上市,4195719
2026-09-16,2633,上市,4834935
2026-09-17,2633,上市,3639848
2026-09-18,2633,上市,18318009
2026-09-21,2633,上市,18318009
2026-09-14,2634,上市,9453539
2026-09-15,2634,上市,7430842
2026-09-16,2634,上市,10249412
2026-09-17,2634,上市,7679237
2026-09-18,2634,上市,4526748
2026-09-21,2634,上市,4526748
2026-09-14,2801,上市,54168016
2026-09-15,2801,上市,38455068
2026-09-16,2801,上市,40587271
2026-09-17,2801,上市,55925715
2026-09-18,2801,上市,45992866
2026-09-21,2801,上市,45992866
2026-09-14,2834,上市,73515266
2026-09-15,2834,上市,42777943
2026-09-16,2834,上市,29664934
2026-09-17,2834,上市,62652493
2026-09-18,2834,上市,80602711
2026-09-21,2834,上市,80602711
2026-09-14,2880,上市,11333629
2026-09-15,2880,上市,15252989
2026-09-16,2880,上市,18245339
2026-09-17,2880,上市,16181633
2026-09-18,2880,上市,35776337
2026-09-21,2880,上市,35776337
2026-09-14,2881,上市,19008138
2026-09-15,2881,上市,15894184
2026-09-16,2881,上市,20793317
2026-09-17,2881,上市,14045882
2026-09-18,2881,上市,28248424
2026-09-21,2881,上市,28248424
2026-09-14,2882,上市,18700175
2026-09-15,2882,上市,16604431
2026-09-16,2882,上市,27370591
2026-09-17,2882,上市,19698413
2026-09-18,2882,上市,43826072
2026-09-21,2882,上市,43826072
2026-09-14,2883,上市,43390833
2026-09-15,2883,上市,54357732
2026-09-16,2883,上市,44169972
2026-09-17,2883,上市,47181728
2026-09-18,2883,上市,84041486
2026-09-21,2883,上市,84041486
2026-09-14,2884,上市,42521670
2026-09-15,2884,上市,35427709
2026-09-16,2884,上市,41914863
2026-09-17,2884,上市,51011663
2026-09-18,2884,上市,91400807
2026-09-21,2884,上市,91400807
2026-09-14,2885,上市,15209396
2026-09-15,2885,上市,23441138
2026-09-16,2885,上市,14347692
2026-09-17,2885,上市,24272039
2026-09-18,2885,上市,51889026
2026-09-21,2885,上市,51889026
2026-09-14,2886,上市,22519207
2026-09-15,2886,上市,20370352
2026-09-16,2886,上市,26462696
2026-09-17,2886,上市,24220366
2026-09-18,2886,上市,47531956
2026-09-21,2886,上市,47531956
2026-09-14,2887,上市,41755970
2026-09-15,2887,上市,43388044
2026-09-16,2887,上市,64631663
2026-09-17,2887,上市,61871541
2026-09-18,2887,上市,139346857
2026-09-21,2887,上市,139346857
2026-09-14,2890,上市,31277251
2026-09-15,2890,上市,26932735
2026-09-16,2890,上市,39272275
2026-09-17,2890,上市,36030980
2026-09-18,2890,上市,52002471
2026-09-21,2890,上市,52002471
2026-09-14,2891,上市,28023152
2026-09-15,2891,上市,59318127
2026-09-16,2891,上市,50439678
2026-09-17,2891,上市,43768969
2026-09-18,2891,上市,75667472
2026-09-21,2891,上市,75667472
2026-09-14,2892,上市,37037261
2026-09-15,2892,上市,30707411
2026-09-16,2892,上市,24115235
2026-09-17,2892,上市,32824142
2026-09-18,2892,上市,52942496
2026-09-21,2892,上市,52942496
2026-09-14,2913,上市,621615
2026-09-15,2913,上市,651398
2026-09-16,2913,上市,491142
2026-09-17,2913,上市,1452874
2026-09-18,2913,上市,3068939
2026-09-21,2913,上市,3068939
2026-09-14,2915,上市,1420228
2026-09-15,2915,上市,867924
2026-09-16,2915,上市,2441861
2026-09-17,2915,上市,3128197
2026-09-18,2915,上市,2609847
2026-09-21,2915,上市,2609847
2026-09-14,3005,上市,2806961
2026-09-15,3005,上市,1588708
2026-09-16,3005,上市,1479672
2026-09-17,3005,上市,3131786
2026-09-18,3005,上市,1692787
2026-09-21,3005,上市,1692787
2026-09-14,3006,上市,13743680
2026-09-15,3006,上市,9092194
